name,link,uses,inconvinients
Abilify,https://www.drugs.com/abilify.html,"['Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.', 'Abilify is used to treat the symptoms of psychotic conditions including schizophrenia in adults and children at least 13 years old.', 'Abilify is also used alone or with a mood stabilizer medicine to treat bipolar I disorder (manic depression) in adults and children at least 10 years old.', 'Abilify is used with antidepressant medication to treat major depressive disorder in adults.', ""Abilify is also used in children at least 6 years old to treat Tourette's disorder and to treat symptoms related to autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).""]","['Get emergency medical help if you have signs of an allergic reaction to Abilify: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself.', 'Call your doctor at once if you have:', 'You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs.', 'The most common side effects of Abilify may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Abilify Asimtufii,https://www.drugs.com/abilify-asimtufii.html,"['Abilify Asimtufii is an atypical antipsychotic used for schizophrenia and bipolar I disorder in adults, Abilify Asimtufii is an extended-release injection that is given once every two months.', 'The exact way in which\xa0 Abilify Asimtufii works (mechanism of action) to treat schizophrenia and bipolar I disorder is not known, but it is thought to work by balancing the levels of serotonin and dopamine in the brain.', 'Abilify (aripiprazole) is also available as Abilify (oral tablets), Abilify MyCite (tablet embedded with an ingestible sensor), and Abilify Maintena (extended-release injection for administration once every month).\xa0', 'Abilify Asimtufii is a longer-acting slow-release injection that is given every two months, this helps compliance and means patients only need 6 injections per year.']","['Get emergency medical help if you have signs of an allergic reaction to aripiprazole: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself.', 'Call your doctor at once if you have:', 'You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs.', 'Common Abilify Asimtufii side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Abiify Maintena,https://www.drugs.com/abilify-maintena.html,"['Abilify Maintena (aripiprazole) extended-release injection is used alone or in combination with other aripiprazole preparations to treat schizophrenia (a mental illness that causes disturbed or unusual thinking, loss of interest in life, and strong or inappropriate emotions).', 'Abilify Maintena is also used for the ongoing treatment of people with bipolar I disorder (manic-depressive disorder; a disease that causes episodes of depression, episodes of mania, and other abnormal moods)', 'Abilify Maintena belongs to a class of medications called atypical antipsychotics. It works by changing the activity of certain natural substances in the brain.', 'Abilify Maintena is an extended-release injectable suspension of aripiprazole that only has to be given once a month.']","['Get emergency medical help if you have signs of an allergic reaction: hives, difficult breathing, swelling of your face, lips, tongue, or throat.', 'High doses or long-term use of aripiprazole can cause a serious movement disorder that may not be reversible. The longer you use Abilify Maintena, the more likely you are to develop this disorder, especially if you are a woman or an older adult.', 'You may have increased sexual urges, unusual urges to gamble, or other intense urges while using this medicine. Talk with your doctor if this occurs.', 'Abilify Maintena may cause serious side effects. Call your doctor at once if you have:', 'Common Abilify Maintena side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Abilraterone,https://www.drugs.com/abiraterone.html,"['Abiraterone works by reducing androgen production in the body. Androgens are male hormones that can promote tumor growth in the prostate gland.', 'Abiraterone is used together with steroid medication (prednisone or methylprednisolone) to treat prostate cancer that has spread to other parts of the body. abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.', 'It is not known if abiraterone acetate tablets are safe or effective in females or children.']","['Get emergency medical help if you have signs of an allergic reaction to abiraterone: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Call your doctor at once if you have:', 'Common abiraterone side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Acetaminophen,https://www.drugs.com/acetaminophen.html,"['Acetaminophen is a pain reliever and a fever reducer.', 'Acetaminophen is used to treat mild to moderate pain, moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers.', 'Acetaminophen is also available in many over-the-counter combination medications with other drugs, including Actifed, Alka-Seltzer Plus Liquid Gels, Cepacol, Contac, Coridicin, Dayquil, Dimetapp, Dristan, Excedrin, Feverall, Liquiprin, Midol, Nyquil, Panadol, Robitussin Singlet, Sinutab, Sudafed, Theraflu, Triaminic, Vanquish, Vicks, and Zicam.', 'Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone.', 'Acetaminophen is typically used orally, but can be given intravenously.']","['Get emergency medical help if you have signs of an allergic reaction to acetaminophen: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.', 'In rare cases, acetaminophen may cause a severe skin reaction that can be fatal, even if you took acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.', 'Stop taking acetaminophen and call your doctor at once if you have signs of liver problems:', 'Less serious acetaminophen side effects may be more likely, and you may have none at all.', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html,"['Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen (Tylenol).', 'There are other brands and forms of acetylcysteine available, and some can be purchased over the counter. Not all forms of  acetylcysteine are effective as an acetaminophen antidote. Do not attempt to treat an acetaminophen overdose without medical advice.', 'Acetylcysteine may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Acetylcysteine may cause serious side effects. Call your doctor at once if you have:', 'Common side effects of acetylcysteine may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Actemra,https://www.drugs.com/actemra.html,"['Actemra (tocilizumab) is a FDA approved biological medicine that is given by intravenous infusion or injection under the skin to treat specific patients with COVID-19, rheumatoid arthritis, giant cell arteritis, scleroderma, polyarticular or systemic juvenile idiopathic arthritis, and severe cytokine release syndrome.', 'Actrema was FDA approved to treat COVID-19 on December 21, 2022, for specific adult patients. Pediatric patients (aged 2 years to 18 years) with COVID-19 still have access to Actrema under emergency use authorization (EUA).', 'Actrema is a monoclonal antibody that blocks a protein in your body called interleukin-6 (IL-6).\xa0 If this protein is activated, it causes your immune system to be overactive which results in inflammation and the signs and symptoms of autoimmune disease.\xa0As Actrema blocks the interleukin-6 receptor, this is how it is thought to reduce the immune system from being overactive, so there is less inflammation and a reduction in the signs and symptoms of autoimmune diseases.', 'At a more technical level the mode of action (MOA) of Actrema is that it binds to IL-6 receptors (sIL-6R and mIL-6R) which have been shown to inhibit IL-6-mediated signaling through these receptors. Interleukin-6 is a pro-inflammatory cytokine that is made by a variety of cell types including T- and B-cells, lymphocytes, monocytes and fibroblasts.', 'Actemra can be used with other medications as part your complete treatment.']","['Get emergency medical help if you have signs of an allergic reaction to Actemra: hives; chest pain, difficulty breathing, feeling like you might pass out; swelling of your face, lips, tongue, or throat.', 'Call your doctor at once if you have:', 'Common Actemra side effects may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Acyclovir,https://www.drugs.com/acyclovir.html,"['Acyclovir is an antiviral drug. It slows the growth and spread of the herpes virus in the body. Acyclovir will not cure herpes, but it can lessen the symptoms of the infection.', 'Acyclovir is used to treat infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chicken pox.', 'Sitavig buccal tabets are for use in treating only cold sores on the lips. Sitavig will not treat genital herpes.', 'Acyclovir may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Acyclovir may cause serious side effects. Call your doctor at once if you have:', 'Common side effects of acyclovir may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Adalimumab,https://www.drugs.com/adalimumab.html,"[""Adalimumab (Humira and others) is used to treat plaque psoriasis (Ps), Crohn's disease, ulcerative colitis, rheumatoid arthritis (RA), psoriatic arthritis (PsA), juvenile idiopathic arthritis, ankylosing spondylitis, and uveitis. Adalimumab works to reduce pain, inflammation, and skin symptoms in chronic autoimmune conditions. Adalimumab works by blocking a protein called tumor necrosis factor (TNF) that can cause inflammation, pain, or other autoimmune symptoms. Adalimumab is from a class of medicine called TNF alfa inhibitor.\xa0"", 'There are 10 biosimilars of Humira, the brand names are Abrilada, Amjevita, Cyltezo, Hadlima, Hulio, Idacio, Yuflyma, and Yusimry.\xa0 The interchangeable biosimilars of Humira are Cyltezo (Boehringer Ingelheim), Abrilada (Pfizer), Hyrimoz (Sandoz) and Simlandi (Alvotech)', 'Humira was approved by the FDA on December 31, 2002. Humira was the first brand of adalimumab, so it is called the reference product. Biosimilars of Humira are now also available, see below for a full list of adalimumab biosimilars, indications, and companies.', 'A biosimilar is a biologic medicine that is a very close copy of the original product made by another company.\xa0 An interchangeable biosimilar has undergone an additional Interchangeability Study, meaning that patients can be confident in the safety and effectiveness of the interchangeable biosimilar product, just as they would be for the FDA-approved original product, in this case, Humira.']","['Common adalimumab side effects of may include:', 'Serious adalimumab side effects of may include:', 'Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.', 'Call your doctor right away if you have any symptoms of lymphoma:', 'Also call your doctor at once if you have:', 'Older adults may be more likely to develop infections or cancer while using adalimumab.', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
Adderall,https://www.drugs.com/adderall.html,"['Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.', 'Adderall may also be used for purposes not listed in this medication guide.']","['Get emergency medical help if you have signs of an allergic reaction to Adderall: hives; difficult breathing; swelling of your face, lips, tongue, or throat.', 'Adderall may cause serious side effects. Call your doctor at once if you have:', 'Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea.', 'Adderall can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine.', 'Common side effects of Adderall may include:', 'This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.']"
